fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
648,0.57433,33.35,59884.07819,21.52886,240,0.07091,1.31901,ztfg,-1
692,345.00678,33.35,59884.08109,21.52886,240,0.06114,1.12336,ztfg,-1
693,352.79056,33.35,59884.08398,21.52886,240,0.06071,1.18767,ztfg,-1
602,16.0128,26.15,59884.08687,21.52886,240,0.05062,1.66659,ztfg,-1
601,8.4872,26.15,59884.08977,21.52886,240,0.04109,1.44031,ztfg,-1
649,8.35811,33.35,59884.09266,21.52886,240,0.03717,1.36241,ztfg,-1
552,15.87491,18.95,59884.09555,21.52886,240,0.0319,1.68171,ztfg,-1
553,23.12473,18.95,59884.09845,21.52886,240,0.02738,1.92491,ztfg,-1
644,330.8592,26.15,59884.10134,21.52886,240,0.03985,1.02225,ztfg,-1
645,338.3848,26.15,59884.10424,21.52886,240,0.03019,1.04472,ztfg,-1
691,337.223,33.35,59884.10713,21.52886,240,0.0274,1.0257,ztfg,-1
502,22.72637,11.75,59884.11002,21.52886,240,0.0394,1.91266,ztfg,-1
449,19.26088,4.55,59884.11292,21.52886,240,0.01426,1.9323,ztfg,-1
595,325.12618,18.95,59884.11581,21.52886,240,0.01782,1.03198,ztfg,-1
596,332.376,18.95,59884.1187,21.52886,240,0.01159,1.0372,ztfg,-1
545,326.85237,11.75,59884.1216,21.52886,240,0.00632,1.07478,ztfg,-1
1689,337.78142,29.75,59884.12449,21.52886,240,0.00419,1.01237,ztfg,-1
450,26.27176,4.55,59884.12738,21.52886,240,0.01991,2.0168,ztfg,-1
605,38.5896,26.15,59884.13028,21.52886,240,0.00617,1.93126,ztfg,-1
399,22.79327,-2.65,59884.13317,21.52886,240,0.02501,2.02484,ztfg,-1
603,23.5384,26.15,59884.13606,21.52886,240,0.00438,1.40601,ztfg,-1
738,22.28709,47.75,59884.13896,21.52886,240,0.00674,1.29062,ztfg,-1
697,28.87947,40.55,59884.14185,21.52886,240,0.0063,1.37909,ztfg,-1
347,19.29919,-9.85,59884.14474,21.52886,240,0.01372,2.00039,ztfg,-1
650,16.14189,33.35,59884.14764,21.52886,240,0.00514,1.19214,ztfg,-1
773,6.95487,54.95,59884.15053,21.52886,240,0.00543,1.15358,ztfg,-1
804,345.77437,54.95,59884.15343,21.52886,240,0.00493,1.08086,ztfg,-1
735,355.0372,40.55,59884.15632,21.52886,240,0.00492,1.03218,ztfg,-1
1646,8.59984,29.75,59884.15921,21.52886,240,0.00485,1.09506,ztfg,-1
653,39.49322,33.35,59884.16211,21.52886,240,0.00496,1.48552,ztfg,-1
556,44.87418,18.95,59884.165,21.52886,240,0.00392,1.82761,ztfg,-1
505,43.67912,11.75,59884.16789,21.52886,240,0.00382,1.91658,ztfg,-1
652,31.70944,33.35,59884.17079,21.52886,240,0.00364,1.28465,ztfg,-1
600,0.9616,26.15,59884.17368,21.52886,240,0.00402,1.03486,ztfg,-1
734,346.6058,40.55,59884.17657,21.52886,240,0.00428,1.00822,ztfg,-1
805,356.36462,54.95,59884.17947,21.52886,240,0.00435,1.08251,ztfg,-1
803,335.18412,54.95,59884.18236,21.52886,240,0.00425,1.09267,ztfg,-1
769,322.06455,47.75,59884.18525,21.52886,240,0.00372,1.10799,ztfg,-1
646,345.9104,26.15,59884.18815,21.52886,240,0.003,1.01074,ztfg,-1
694,3.4686,40.55,59884.19104,21.52886,240,0.00311,1.02111,ztfg,-1
1598,15.77495,22.55,59884.19393,21.52886,240,0.00283,1.08332,ztfg,-1
555,37.62436,18.95,59884.19683,21.52886,240,0.00348,1.32938,ztfg,-1
506,50.66337,11.75,59884.19972,21.52886,240,0.00272,1.73613,ztfg,-1
557,52.124,18.95,59884.20261,21.52886,240,0.00255,1.60817,ztfg,-1
698,37.42753,40.55,59884.20551,21.52886,240,0.00235,1.18738,ztfg,-1
737,12.25,47.75,59884.2084,21.52886,240,0.00273,1.05092,ztfg,-1
733,338.1744,40.55,59884.2113,21.52886,240,0.00217,1.05397,ztfg,-1
768,312.24615,47.75,59884.21419,21.52886,240,0.00219,1.281,ztfg,-1
690,329.43922,33.35,59884.21708,21.52886,240,0.00218,1.11903,ztfg,-1
729,304.26859,40.55,59884.21998,21.52886,240,0.00199,1.44769,ztfg,-1
770,332.10164,47.75,59884.22287,21.52886,240,0.00198,1.12942,ztfg,-1
1641,331.61757,22.55,59884.22576,21.52886,240,0.00196,1.16523,ztfg,-1
296,15.79096,-17.05,59884.22866,21.52886,240,0.00422,1.59613,ztfg,-1
503,29.71062,11.75,59884.23155,21.52886,240,0.00228,1.15569,ztfg,-1
453,47.3044,4.55,59884.23444,21.52886,240,0.00228,1.45741,ztfg,-1
452,40.29352,4.55,59884.23734,21.52886,240,0.00216,1.32583,ztfg,-1
606,46.1152,26.15,59884.24023,21.52886,240,0.00213,1.18117,ztfg,-1
607,53.6408,26.15,59884.24312,21.52886,240,0.00191,1.26174,ztfg,-1
554,30.37455,18.95,59884.24602,21.52886,240,0.00174,1.07722,ztfg,-1
1548,22.92217,15.35,59884.24891,21.52886,240,0.0018,1.06441,ztfg,-1
504,36.69487,11.75,59884.2518,21.52886,240,0.00167,1.15336,ztfg,-1
402,43.87981,-2.65,59884.2547,21.52886,240,0.0016,1.41545,ztfg,-1
1496,22.53916,8.15,59884.25759,21.52886,240,0.00154,1.11059,ztfg,-1
501,15.74212,11.75,59884.26049,21.52886,240,0.00159,1.07494,ztfg,-1
1645,0.76047,29.75,59884.26338,21.52886,240,0.00151,1.03633,ztfg,-1
774,17.54512,54.95,59884.26627,21.52886,240,0.00158,1.07662,ztfg,-1
829,313.33333,62.15,59884.26917,21.52886,240,0.00193,1.56778,ztfg,-1
800,302.18847,54.95,59884.27206,21.52886,240,0.00195,1.8534,ztfg,-1
767,302.47146,47.75,59884.27495,21.52886,240,0.00176,1.9812,ztfg,-1
