fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
835,42.85714,69.35,59884.07819,21.65,299,0.00473,1.97699,ztfg,-1
809,46.66667,62.15,59884.09613,21.65,299,0.02052,2.02805,ztfg,-1
856,60.0,76.55,59884.09972,21.65,299,0.0073,2.01297,ztfg,-1
1842,53.87953,65.75,59884.11049,21.65,299,0.00184,2.02056,ztfg,-1
777,49.31587,54.95,59884.11407,21.65,299,0.00815,2.03716,ztfg,-1
836,60.0,69.35,59884.12125,21.65,299,0.03246,2.0113,ztfg,-1
1813,54.98986,58.55,59884.12484,21.65,299,0.00299,2.03151,ztfg,-1
605,38.5896,26.15,59884.12843,21.65,299,0.00444,1.96214,ztfg,-1
555,37.62436,18.95,59884.13201,21.65,299,0.00773,2.04356,ztfg,-1
810,60.0,62.15,59884.1356,21.65,299,0.13003,2.00415,ztfg,-1
504,36.69487,11.75,59884.14278,21.65,299,0.02748,2.0166,ztfg,-1
778,60.11656,54.95,59884.14636,21.65,299,0.06974,2.00902,ztfg,-1
606,46.1152,26.15,59884.14995,21.65,299,0.00413,1.95121,ztfg,-1
556,44.87418,18.95,59884.15354,21.65,299,0.00731,2.0169,ztfg,-1
451,33.28264,4.55,59884.15713,21.65,299,0.00501,1.8509,ztfg,-1
505,43.67912,11.75,59884.16072,21.65,299,0.05565,2.04352,ztfg,-1
452,40.29352,4.55,59884.1643,21.65,299,0.04506,2.05274,ztfg,-1
1499,43.11748,8.15,59884.16789,21.65,299,0.0042,2.0024,ztfg,-1
811,73.33333,62.15,59884.17148,21.65,299,0.0256,2.01566,ztfg,-1
779,71.12768,54.95,59884.17507,21.65,299,0.04242,2.03197,ztfg,-1
1814,66.98986,58.55,59884.17866,21.65,299,0.00827,1.82488,ztfg,-1
506,50.66337,11.75,59884.18224,21.65,299,0.016,2.00334,ztfg,-1
453,47.3044,4.55,59884.18583,21.65,299,0.07474,2.01464,ztfg,-1
1447,46.67615,0.95,59884.18942,21.65,299,0.00475,2.0549,ztfg,-1
402,43.87981,-2.65,59884.19301,21.65,299,0.02666,2.00207,ztfg,-1
401,36.85096,-2.65,59884.1966,21.65,299,0.00294,1.70048,ztfg,-1
1500,49.97692,8.15,59884.20018,21.65,299,0.00211,1.79424,ztfg,-1
454,54.31528,4.55,59884.20377,21.65,299,0.02261,2.04204,ztfg,-1
812,86.66667,62.15,59884.20736,21.65,299,0.00776,2.027,ztfg,-1
403,50.90865,-2.65,59884.21095,21.65,299,0.05599,2.02804,ztfg,-1
838,94.28571,69.35,59884.21454,21.65,299,0.01077,2.02618,ztfg,-1
837,77.14286,69.35,59884.21812,21.65,299,0.00598,1.70179,ztfg,-1
780,82.05244,54.95,59884.22171,21.65,299,0.00441,1.84859,ztfg,-1
700,54.52367,40.55,59884.2253,21.65,299,0.0032,1.30891,ztfg,-1
404,57.9375,-2.65,59884.22889,21.65,299,0.01455,2.05494,ztfg,-1
351,47.49593,-9.85,59884.23248,21.65,299,0.00596,1.87572,ztfg,-1
1448,53.56138,0.95,59884.23606,21.65,299,0.00322,1.67259,ztfg,-1
352,54.54511,-9.85,59884.23965,21.65,299,0.01159,2.0425,ztfg,-1
1396,50.24237,-6.25,59884.24324,21.65,299,0.00215,1.71421,ztfg,-1
813,100.0,62.15,59884.24683,21.65,299,0.00496,2.0021,ztfg,-1
1843,68.79756,65.75,59884.25042,21.65,299,0.00242,1.43851,ztfg,-1
1397,57.15007,-6.25,59884.254,21.65,299,0.00145,1.80309,ztfg,-1
406,71.99519,-2.65,59884.26836,21.65,299,0.00435,2.04688,ztfg,-1
782,103.90195,54.95,59884.27194,21.65,299,0.0052,1.96043,ztfg,-1
354,68.64348,-9.85,59884.27912,21.65,299,0.03119,2.03735,ztfg,-1
1346,67.74771,-13.45,59884.28988,21.65,299,0.00206,2.01907,ztfg,-1
747,110.12762,47.75,59884.29347,21.65,299,0.00635,2.0301,ztfg,-1
783,114.82671,54.95,59884.29706,21.65,299,0.01273,2.02175,ztfg,-1
303,65.36446,-17.05,59884.30065,21.65,299,0.01499,1.98456,ztfg,-1
707,114.69867,40.55,59884.315,21.65,299,0.00329,2.04351,ztfg,-1
304,72.44639,-17.05,59884.31859,21.65,299,0.01589,2.004,ztfg,-1
748,119.55231,47.75,59884.32218,21.65,299,0.00389,1.99334,ztfg,-1
305,79.52832,-17.05,59884.33653,21.65,299,0.00355,2.02417,ztfg,-1
254,67.69804,-24.25,59884.35088,21.65,299,0.00245,2.0012,ztfg,-1
810,60.0,62.15,59884.35157,21.65,299,0.13003,1.14985,ztfr,-1
778,60.11656,54.95,59884.35516,21.65,299,0.06974,1.08277,ztfr,-1
779,71.12768,54.95,59884.35875,21.65,299,0.04242,1.10585,ztfr,-1
453,47.3044,4.55,59884.36234,21.65,299,0.07474,1.14746,ztfr,-1
403,50.90865,-2.65,59884.36593,21.65,299,0.05599,1.23846,ztfr,-1
505,43.67912,11.75,59884.36951,21.65,299,0.05565,1.09886,ztfr,-1
452,40.29352,4.55,59884.3731,21.65,299,0.04506,1.19246,ztfr,-1
504,36.69487,11.75,59884.37669,21.65,299,0.02748,1.15092,ztfr,-1
402,43.87981,-2.65,59884.38028,21.65,299,0.02666,1.28943,ztfr,-1
354,68.64348,-9.85,59884.38386,21.65,299,0.03119,1.38229,ztfr,-1
454,54.31528,4.55,59884.38745,21.65,299,0.02261,1.15283,ztfr,-1
506,50.66337,11.75,59884.39104,21.65,299,0.016,1.10204,ztfr,-1
836,60.0,69.35,59884.39463,21.65,299,0.03246,1.23885,ztfr,-1
811,73.33333,62.15,59884.39822,21.65,299,0.0256,1.14496,ztfr,-1
809,46.66667,62.15,59884.4018,21.65,299,0.02052,1.17781,ztfr,-1
838,94.28571,69.35,59884.40539,21.65,299,0.01077,1.28008,ztfr,-1
783,114.82671,54.95,59884.40898,21.65,299,0.01273,1.25958,ztfr,-1
1814,66.98986,58.55,59884.41257,21.65,299,0.00827,1.10748,ztfr,-1
777,49.31587,54.95,59884.41616,21.65,299,0.00815,1.12572,ztfr,-1
812,86.66667,62.15,59884.41974,21.65,299,0.00776,1.1529,ztfr,-1
