fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
441,319.53365,-2.65,59884.07819,21.65,299,0.11238,1.24781,ztfr,-1
546,333.83662,11.75,59884.08178,21.65,299,0.11079,1.14263,ztfr,-1
442,326.5625,-2.65,59884.08537,21.65,299,0.10796,1.26613,ztfr,-1
494,330.18472,4.55,59884.08896,21.65,299,0.09821,1.1779,ztfr,-1
493,323.17384,4.55,59884.09255,21.65,299,0.09689,1.14744,ztfr,-1
545,326.85237,11.75,59884.09613,21.65,299,0.05118,1.0866,ztfr,-1
547,340.82087,11.75,59884.09972,21.65,299,0.0405,1.14607,ztfr,-1
597,339.62582,18.95,59884.10331,21.65,299,0.01893,1.08094,ztfr,-1
495,337.1956,4.55,59884.1069,21.65,299,0.01192,1.18067,ztfr,-1
1435,320.44222,-6.25,59884.11049,21.65,299,0.01386,1.29751,ztfr,-1
596,332.376,18.95,59884.11407,21.65,299,0.01104,1.04033,ztfr,-1
1487,324.05338,0.95,59884.11766,21.65,299,0.00922,1.18353,ztfr,-1
440,312.50481,-2.65,59884.12125,21.65,299,0.00911,1.27596,ztfr,-1
1540,327.66364,8.15,59884.12484,21.65,299,0.00531,1.10431,ztfr,-1
492,316.16296,4.55,59884.12843,21.65,299,0.0053,1.17007,ztfr,-1
1541,334.52308,8.15,59884.13201,21.65,299,0.00395,1.10636,ztfr,-1
391,329.95489,-9.85,59884.1356,21.65,299,0.00374,1.37053,ztfr,-1
1436,327.34993,-6.25,59884.13919,21.65,299,0.00303,1.30364,ztfr,-1
1593,340.23348,15.35,59884.14278,21.65,299,0.00241,1.055,ztfr,-1
1592,333.1187,15.35,59884.14636,21.65,299,0.00232,1.05191,ztfr,-1
1488,330.93862,0.95,59884.14995,21.65,299,0.00205,1.19011,ztfr,-1
441,319.53365,-2.65,59884.15065,21.65,299,0.11238,1.29987,ztfg,-1
546,333.83662,11.75,59884.15424,21.65,299,0.11079,1.07827,ztfg,-1
442,326.5625,-2.65,59884.15782,21.65,299,0.10796,1.27076,ztfg,-1
494,330.18472,4.55,59884.16141,21.65,299,0.09821,1.16098,ztfg,-1
493,323.17384,4.55,59884.165,21.65,299,0.09689,1.20577,ztfg,-1
545,326.85237,11.75,59884.16859,21.65,299,0.05118,1.11836,ztfg,-1
547,340.82087,11.75,59884.17218,21.65,299,0.0405,1.07753,ztfg,-1
597,339.62582,18.95,59884.17576,21.65,299,0.01893,1.03811,ztfg,-1
495,337.1956,4.55,59884.17935,21.65,299,0.01192,1.15892,ztfg,-1
1435,320.44222,-6.25,59884.18294,21.65,299,0.01386,1.49359,ztfg,-1
596,332.376,18.95,59884.18653,21.65,299,0.01104,1.07522,ztfg,-1
1487,324.05338,0.95,59884.19011,21.65,299,0.00922,1.33401,ztfg,-1
440,312.50481,-2.65,59884.1937,21.65,299,0.00911,1.64022,ztfg,-1
1540,327.66364,8.15,59884.19729,21.65,299,0.00531,1.22307,ztfg,-1
492,316.16296,4.55,59884.20088,21.65,299,0.0053,1.45519,ztfg,-1
1541,334.52308,8.15,59884.20447,21.65,299,0.00395,1.18588,ztfg,-1
391,329.95489,-9.85,59884.20805,21.65,299,0.00374,1.58187,ztfg,-1
1436,327.34993,-6.25,59884.21164,21.65,299,0.00303,1.55213,ztfg,-1
1593,340.23348,15.35,59884.21523,21.65,299,0.00241,1.11075,ztfg,-1
1592,333.1187,15.35,59884.21882,21.65,299,0.00232,1.17545,ztfg,-1
1488,330.93862,0.95,59884.22241,21.65,299,0.00205,1.39887,ztfg,-1
441,319.53365,-2.65,59884.2231,21.65,299,0.11238,1.74017,ztfr,-1
546,333.83662,11.75,59884.22669,21.65,299,0.11079,1.2302,ztfr,-1
442,326.5625,-2.65,59884.23028,21.65,299,0.10796,1.61839,ztfr,-1
494,330.18472,4.55,59884.23386,21.65,299,0.09821,1.41548,ztfr,-1
493,323.17384,4.55,59884.23745,21.65,299,0.09689,1.59623,ztfr,-1
545,326.85237,11.75,59884.24104,21.65,299,0.05118,1.4123,ztfr,-1
547,340.82087,11.75,59884.24463,21.65,299,0.0405,1.22449,ztfr,-1
597,339.62582,18.95,59884.24822,21.65,299,0.01893,1.1891,ztfr,-1
495,337.1956,4.55,59884.2518,21.65,299,0.01192,1.40601,ztfr,-1
596,332.376,18.95,59884.25539,21.65,299,0.01104,1.32016,ztfr,-1
1487,324.05338,0.95,59884.25898,21.65,299,0.00922,1.93057,ztfr,-1
1540,327.66364,8.15,59884.26257,21.65,299,0.00531,1.64561,ztfr,-1
1541,334.52308,8.15,59884.26616,21.65,299,0.00395,1.49952,ztfr,-1
1593,340.23348,15.35,59884.26974,21.65,299,0.00241,1.31408,ztfr,-1
1592,333.1187,15.35,59884.27333,21.65,299,0.00232,1.47448,ztfr,-1
1488,330.93862,0.95,59884.27692,21.65,299,0.00205,1.91281,ztfr,-1
441,319.53365,-2.65,59886.07819,21.65,299,0.11238,1.24781,ztfr,-1
546,333.83662,11.75,59886.08178,21.65,299,0.11079,1.14263,ztfr,-1
442,326.5625,-2.65,59886.08537,21.65,299,0.10796,1.26613,ztfr,-1
494,330.18472,4.55,59886.08896,21.65,299,0.09821,1.1779,ztfr,-1
493,323.17384,4.55,59886.09255,21.65,299,0.09689,1.14744,ztfr,-1
545,326.85237,11.75,59886.09613,21.65,299,0.05118,1.0866,ztfr,-1
547,340.82087,11.75,59886.09972,21.65,299,0.0405,1.14607,ztfr,-1
597,339.62582,18.95,59886.10331,21.65,299,0.01893,1.08094,ztfr,-1
495,337.1956,4.55,59886.1069,21.65,299,0.01192,1.18067,ztfr,-1
1435,320.44222,-6.25,59886.11049,21.65,299,0.01386,1.29751,ztfr,-1
596,332.376,18.95,59886.11407,21.65,299,0.01104,1.04033,ztfr,-1
1487,324.05338,0.95,59886.11766,21.65,299,0.00922,1.18353,ztfr,-1
440,312.50481,-2.65,59886.12125,21.65,299,0.00911,1.27596,ztfr,-1
1540,327.66364,8.15,59886.12484,21.65,299,0.00531,1.10431,ztfr,-1
492,316.16296,4.55,59886.12843,21.65,299,0.0053,1.17007,ztfr,-1
1541,334.52308,8.15,59886.13201,21.65,299,0.00395,1.10636,ztfr,-1
391,329.95489,-9.85,59886.1356,21.65,299,0.00374,1.37053,ztfr,-1
1436,327.34993,-6.25,59886.13919,21.65,299,0.00303,1.30364,ztfr,-1
1593,340.23348,15.35,59886.14278,21.65,299,0.00241,1.055,ztfr,-1
1592,333.1187,15.35,59886.14636,21.65,299,0.00232,1.05191,ztfr,-1
1488,330.93862,0.95,59886.14995,21.65,299,0.00205,1.19011,ztfr,-1
441,319.53365,-2.65,59886.15065,21.65,299,0.11238,1.29987,ztfi,-1
546,333.83662,11.75,59886.15424,21.65,299,0.11079,1.07827,ztfi,-1
442,326.5625,-2.65,59886.15782,21.65,299,0.10796,1.27076,ztfi,-1
494,330.18472,4.55,59886.16141,21.65,299,0.09821,1.16098,ztfi,-1
493,323.17384,4.55,59886.165,21.65,299,0.09689,1.20577,ztfi,-1
545,326.85237,11.75,59886.16859,21.65,299,0.05118,1.11836,ztfi,-1
547,340.82087,11.75,59886.17218,21.65,299,0.0405,1.07753,ztfi,-1
597,339.62582,18.95,59886.17576,21.65,299,0.01893,1.03811,ztfi,-1
495,337.1956,4.55,59886.17935,21.65,299,0.01192,1.15892,ztfi,-1
1435,320.44222,-6.25,59886.18294,21.65,299,0.01386,1.49359,ztfi,-1
596,332.376,18.95,59886.18653,21.65,299,0.01104,1.07522,ztfi,-1
1487,324.05338,0.95,59886.19011,21.65,299,0.00922,1.33401,ztfi,-1
440,312.50481,-2.65,59886.1937,21.65,299,0.00911,1.64022,ztfi,-1
1540,327.66364,8.15,59886.19729,21.65,299,0.00531,1.22307,ztfi,-1
492,316.16296,4.55,59886.20088,21.65,299,0.0053,1.45519,ztfi,-1
1541,334.52308,8.15,59886.20447,21.65,299,0.00395,1.18588,ztfi,-1
391,329.95489,-9.85,59886.20805,21.65,299,0.00374,1.58187,ztfi,-1
1436,327.34993,-6.25,59886.21164,21.65,299,0.00303,1.55213,ztfi,-1
1593,340.23348,15.35,59886.21523,21.65,299,0.00241,1.11075,ztfi,-1
1592,333.1187,15.35,59886.21882,21.65,299,0.00232,1.17545,ztfi,-1
1488,330.93862,0.95,59886.22241,21.65,299,0.00205,1.39887,ztfi,-1
441,319.53365,-2.65,59886.2231,21.65,299,0.11238,1.74017,ztfr,-1
546,333.83662,11.75,59886.22669,21.65,299,0.11079,1.2302,ztfr,-1
442,326.5625,-2.65,59886.23028,21.65,299,0.10796,1.61839,ztfr,-1
494,330.18472,4.55,59886.23386,21.65,299,0.09821,1.41548,ztfr,-1
