fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success
554,30.37455,18.95,59884.11407,21.65,299,0.01999,2.00303,ztfr,-1
503,29.71062,11.75,59884.12125,21.65,299,0.00745,2.05748,ztfr,-1
504,36.69487,11.75,59884.14278,21.65,299,0.14947,2.0166,ztfr,-1
451,33.28264,4.55,59884.14636,21.65,299,0.08884,2.02507,ztfr,-1
1498,36.25804,8.15,59884.14995,21.65,299,0.01742,1.98312,ztfr,-1
452,40.29352,4.55,59884.1643,21.65,299,0.18234,2.05274,ztfr,-1
401,36.85096,-2.65,59884.17148,21.65,299,0.1072,2.03617,ztfr,-1
1446,39.79092,0.95,59884.17507,21.65,299,0.01729,1.97268,ztfr,-1
402,43.87981,-2.65,59884.19301,21.65,299,0.14844,2.00207,ztfr,-1
350,40.44674,-9.85,59884.20018,21.65,299,0.09875,2.04795,ztfr,-1
1395,43.33467,-6.25,59884.20377,21.65,299,0.03366,1.95706,ztfr,-1
351,47.49593,-9.85,59884.22171,21.65,299,0.08941,2.01819,ztfr,-1
452,40.29352,4.55,59884.22241,21.65,299,0.18234,1.40801,ztfg,-1
504,36.69487,11.75,59884.22599,21.65,299,0.14947,1.24071,ztfg,-1
402,43.87981,-2.65,59884.22958,21.65,299,0.14844,1.57741,ztfg,-1
401,36.85096,-2.65,59884.23317,21.65,299,0.1072,1.42591,ztfg,-1
350,40.44674,-9.85,59884.23676,21.65,299,0.09875,1.6501,ztfg,-1
351,47.49593,-9.85,59884.24035,21.65,299,0.08941,1.78945,ztfg,-1
451,33.28264,4.55,59884.24393,21.65,299,0.08884,1.22573,ztfg,-1
1395,43.33467,-6.25,59884.24752,21.65,299,0.03366,1.52941,ztfg,-1
554,30.37455,18.95,59884.25111,21.65,299,0.01999,1.06843,ztfg,-1
1498,36.25804,8.15,59884.2547,21.65,299,0.01742,1.17717,ztfg,-1
1446,39.79092,0.95,59884.25829,21.65,299,0.01729,1.2883,ztfg,-1
503,29.71062,11.75,59884.26187,21.65,299,0.00745,1.09609,ztfg,-1
452,40.29352,4.55,59884.26257,21.65,299,0.18234,1.22821,ztfr,-1
