fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,19.995370709678568,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,22.702217303663055,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,20.65249013570789,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,20.13930879694734,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,21.026768519352427,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,20.754319762154267,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,22.104844947922608,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,20.982743270350458,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,21.437676142690055,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,21.374703757486795,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,22.399525502893397,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,20.62669180988562,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,22.19770856535306,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,22.264601756991453,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,20.227234361946124,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,21.13503322204643,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,19.889244819088745,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,20.062951220909362,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,21.969351749864384,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,20.977967431763528,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,18.684883891760293,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,20.23846957991405,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,20.244874295633455,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,20.90255436383497,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,22.35017281126935,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,21.78942564909199,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,21.45955113548006,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,19.807961092033562,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,21.2366623693848,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,20.646437656173998,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,21.46408079097028,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,21.819242771430154,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,18.881652417093395,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,20.440685175383177,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,20.047332888398405,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,19.158121363127872,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,21.262632073283125,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,20.087741804439332,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,22.150711049077728,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,21.17153845882149,299,0.01232,1.43953,g,-1,8
868,348.0,76.55,59884.08537,20.082042997229713,299,0.01232,1.43953,g,-1,9
868,348.0,76.55,59884.08537,19.64895033880616,299,0.01232,1.43953,g,-1,10
868,348.0,76.55,59884.08537,20.931209965478345,299,0.01232,1.43953,g,-1,11
868,348.0,76.55,59884.08537,20.868614058985685,299,0.01232,1.43953,g,-1,12
868,348.0,76.55,59884.08537,20.518602797806974,299,0.01232,1.43953,g,-1,13
868,348.0,76.55,59884.08537,20.178270811978916,299,0.01232,1.43953,g,-1,14
868,348.0,76.55,59884.08537,22.227749805806024,299,0.01232,1.43953,g,-1,15
868,348.0,76.55,59884.08537,21.457479272693984,299,0.01232,1.43953,g,-1,16
852,334.28571,69.35,59884.08896,22.059423810079235,299,0.00698,1.26256,g,-1,1
852,334.28571,69.35,59884.08896,21.82577741088951,299,0.00698,1.26256,g,-1,2
852,334.28571,69.35,59884.08896,20.059283165091774,299,0.00698,1.26256,g,-1,3
852,334.28571,69.35,59884.08896,21.540370555813233,299,0.00698,1.26256,g,-1,4
852,334.28571,69.35,59884.08896,21.171120440613027,299,0.00698,1.26256,g,-1,5
852,334.28571,69.35,59884.08896,21.76765077070465,299,0.00698,1.26256,g,-1,6
852,334.28571,69.35,59884.08896,20.36337940178738,299,0.00698,1.26256,g,-1,7
852,334.28571,69.35,59884.08896,22.138764763267382,299,0.00698,1.26256,g,-1,8
852,334.28571,69.35,59884.08896,21.563155834696214,299,0.00698,1.26256,g,-1,9
852,334.28571,69.35,59884.08896,20.82007176138154,299,0.00698,1.26256,g,-1,10
852,334.28571,69.35,59884.08896,21.036119919877724,299,0.00698,1.26256,g,-1,11
