fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,19.688986695494066,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,21.598748415067167,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,20.279868354365156,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,20.445134880624714,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,20.264643203795917,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,20.50392425270084,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,20.598171564131636,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,20.89145726820778,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,22.72126304323365,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,21.682131391734412,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,22.463460766861523,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,19.493121445477186,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,21.68640648656318,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,19.697070205136413,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,20.41147186221713,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,21.377168376421263,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,19.470574628407185,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,21.411476256008925,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,21.79126514368171,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,22.224053041291054,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,21.59696196336858,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,20.495946474083155,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,21.03055060940188,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,21.082410188291924,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,19.85820810332065,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,21.111849739943146,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,20.70094058316009,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,20.57823658040308,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,21.21858115348192,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,20.46013734800283,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,20.25580989153357,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,20.96070852831046,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,20.942544740602894,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,21.223100531846914,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,19.770294290458573,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,19.726206017894715,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,20.16595778118672,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,21.32905296902962,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,21.8717393295411,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,19.309786293040652,299,0.01232,1.43953,g,-1,8
