fieldid,ra,dec,time,limmag,exptime,prob,airmass,filt,success,ccdid
855,36.0,76.55,59884.07819,22.869454629209066,299,0.04633,1.81218,g,-1,1
855,36.0,76.55,59884.07819,20.294558899694294,299,0.04633,1.81218,g,-1,2
855,36.0,76.55,59884.07819,19.731938000792244,299,0.04633,1.81218,g,-1,3
855,36.0,76.55,59884.07819,20.853544900493763,299,0.04633,1.81218,g,-1,4
855,36.0,76.55,59884.07819,22.59153916978371,299,0.04633,1.81218,g,-1,5
855,36.0,76.55,59884.07819,22.20635169164443,299,0.04633,1.81218,g,-1,6
855,36.0,76.55,59884.07819,23.167788691435923,299,0.04633,1.81218,g,-1,7
855,36.0,76.55,59884.07819,19.961705536603947,299,0.04633,1.81218,g,-1,8
855,36.0,76.55,59884.07819,20.739675446662677,299,0.04633,1.81218,g,-1,9
855,36.0,76.55,59884.07819,20.540304284775328,299,0.04633,1.81218,g,-1,10
855,36.0,76.55,59884.07819,22.62999462745164,299,0.04633,1.81218,g,-1,11
855,36.0,76.55,59884.07819,22.48721442981284,299,0.04633,1.81218,g,-1,12
855,36.0,76.55,59884.07819,21.09712649322523,299,0.04633,1.81218,g,-1,13
855,36.0,76.55,59884.07819,21.547481065523918,299,0.04633,1.81218,g,-1,14
855,36.0,76.55,59884.07819,21.959876946290926,299,0.04633,1.81218,g,-1,15
855,36.0,76.55,59884.07819,21.187683797518208,299,0.04633,1.81218,g,-1,16
854,12.0,76.55,59884.08178,20.718509615741524,299,0.03372,1.58038,g,-1,1
854,12.0,76.55,59884.08178,19.75973918085879,299,0.03372,1.58038,g,-1,2
854,12.0,76.55,59884.08178,18.915211358290428,299,0.03372,1.58038,g,-1,3
854,12.0,76.55,59884.08178,20.777142742595323,299,0.03372,1.58038,g,-1,4
854,12.0,76.55,59884.08178,21.426464483409728,299,0.03372,1.58038,g,-1,5
854,12.0,76.55,59884.08178,21.09122128534845,299,0.03372,1.58038,g,-1,6
854,12.0,76.55,59884.08178,19.735714223526763,299,0.03372,1.58038,g,-1,7
854,12.0,76.55,59884.08178,23.41735926619157,299,0.03372,1.58038,g,-1,8
854,12.0,76.55,59884.08178,21.25559292710644,299,0.03372,1.58038,g,-1,9
854,12.0,76.55,59884.08178,23.124402917595496,299,0.03372,1.58038,g,-1,10
854,12.0,76.55,59884.08178,20.90199288843004,299,0.03372,1.58038,g,-1,11
854,12.0,76.55,59884.08178,20.82230845206198,299,0.03372,1.58038,g,-1,12
854,12.0,76.55,59884.08178,22.951403142741952,299,0.03372,1.58038,g,-1,13
854,12.0,76.55,59884.08178,21.035987708321738,299,0.03372,1.58038,g,-1,14
854,12.0,76.55,59884.08178,21.435844709050283,299,0.03372,1.58038,g,-1,15
854,12.0,76.55,59884.08178,21.472094980052958,299,0.03372,1.58038,g,-1,16
868,348.0,76.55,59884.08537,19.353320066663493,299,0.01232,1.43953,g,-1,1
868,348.0,76.55,59884.08537,19.8924383117,299,0.01232,1.43953,g,-1,2
868,348.0,76.55,59884.08537,21.78039616862054,299,0.01232,1.43953,g,-1,3
868,348.0,76.55,59884.08537,21.234813194638562,299,0.01232,1.43953,g,-1,4
868,348.0,76.55,59884.08537,19.818173913969506,299,0.01232,1.43953,g,-1,5
868,348.0,76.55,59884.08537,18.706019814342444,299,0.01232,1.43953,g,-1,6
868,348.0,76.55,59884.08537,22.781860176938284,299,0.01232,1.43953,g,-1,7
868,348.0,76.55,59884.08537,19.983415028493102,299,0.01232,1.43953,g,-1,8
868,348.0,76.55,59884.08537,20.118627970561473,299,0.01232,1.43953,g,-1,9
868,348.0,76.55,59884.08537,20.800053242537793,299,0.01232,1.43953,g,-1,10
868,348.0,76.55,59884.08537,20.492019247781588,299,0.01232,1.43953,g,-1,11
868,348.0,76.55,59884.08537,20.654217284529228,299,0.01232,1.43953,g,-1,12
868,348.0,76.55,59884.08537,22.80310474511038,299,0.01232,1.43953,g,-1,13
868,348.0,76.55,59884.08537,21.48640404947514,299,0.01232,1.43953,g,-1,14
868,348.0,76.55,59884.08537,21.611959624661132,299,0.01232,1.43953,g,-1,15
868,348.0,76.55,59884.08537,21.982095813302422,299,0.01232,1.43953,g,-1,16
852,334.28571,69.35,59884.08896,20.382166859313646,299,0.00698,1.26256,g,-1,1
852,334.28571,69.35,59884.08896,21.87150219637487,299,0.00698,1.26256,g,-1,2
852,334.28571,69.35,59884.08896,22.670214601645228,299,0.00698,1.26256,g,-1,3
852,334.28571,69.35,59884.08896,20.644712864806834,299,0.00698,1.26256,g,-1,4
852,334.28571,69.35,59884.08896,20.91535737175182,299,0.00698,1.26256,g,-1,5
852,334.28571,69.35,59884.08896,21.510196917846944,299,0.00698,1.26256,g,-1,6
852,334.28571,69.35,59884.08896,21.095212012139235,299,0.00698,1.26256,g,-1,7
852,334.28571,69.35,59884.08896,19.469572282875514,299,0.00698,1.26256,g,-1,8
852,334.28571,69.35,59884.08896,21.900753208292425,299,0.00698,1.26256,g,-1,9
852,334.28571,69.35,59884.08896,21.23838013685703,299,0.00698,1.26256,g,-1,10
852,334.28571,69.35,59884.08896,20.835409385890284,299,0.00698,1.26256,g,-1,11
852,334.28571,69.35,59884.08896,21.03406911905925,299,0.00698,1.26256,g,-1,12
852,334.28571,69.35,59884.08896,20.740655306517738,299,0.00698,1.26256,g,-1,13
852,334.28571,69.35,59884.08896,20.615738002678924,299,0.00698,1.26256,g,-1,14
852,334.28571,69.35,59884.08896,21.305661557483607,299,0.00698,1.26256,g,-1,15
852,334.28571,69.35,59884.08896,20.062239653213116,299,0.00698,1.26256,g,-1,16
835,42.85714,69.35,59884.09255,21.728421839201342,299,0.00597,1.87855,g,-1,1
835,42.85714,69.35,59884.09255,20.157096135095514,299,0.00597,1.87855,g,-1,2
835,42.85714,69.35,59884.09255,20.42536970464788,299,0.00597,1.87855,g,-1,3
835,42.85714,69.35,59884.09255,19.260819353586648,299,0.00597,1.87855,g,-1,4
835,42.85714,69.35,59884.09255,20.44889967495218,299,0.00597,1.87855,g,-1,5
835,42.85714,69.35,59884.09255,21.326224267298876,299,0.00597,1.87855,g,-1,6
835,42.85714,69.35,59884.09255,21.330476071969976,299,0.00597,1.87855,g,-1,7
835,42.85714,69.35,59884.09255,22.12504837121205,299,0.00597,1.87855,g,-1,8
835,42.85714,69.35,59884.09255,21.83899314484998,299,0.00597,1.87855,g,-1,9
835,42.85714,69.35,59884.09255,21.56757373563783,299,0.00597,1.87855,g,-1,10
835,42.85714,69.35,59884.09255,21.631831632616233,299,0.00597,1.87855,g,-1,11
835,42.85714,69.35,59884.09255,21.141079857498863,299,0.00597,1.87855,g,-1,12
835,42.85714,69.35,59884.09255,21.35295162933571,299,0.00597,1.87855,g,-1,13
835,42.85714,69.35,59884.09255,20.53678835147153,299,0.00597,1.87855,g,-1,14
835,42.85714,69.35,59884.09255,20.87855608533598,299,0.00597,1.87855,g,-1,15
835,42.85714,69.35,59884.09255,20.012028852804946,299,0.00597,1.87855,g,-1,16
1865,52.43831,72.95,59884.09613,20.26091611588934,299,0.00519,1.98106,g,-1,1
1865,52.43831,72.95,59884.09613,20.766667316232613,299,0.00519,1.98106,g,-1,2
1865,52.43831,72.95,59884.09613,21.34895217903144,299,0.00519,1.98106,g,-1,3
1865,52.43831,72.95,59884.09613,20.797692490858047,299,0.00519,1.98106,g,-1,4
1865,52.43831,72.95,59884.09613,19.135946291479346,299,0.00519,1.98106,g,-1,5
